 100.0 100.0
 0.48 60.4
 0.32 59.28
 0.24 58.64
 0.24 57.92
 0.24 57.52
 0.24 57.28
 0.24 56.72
 0.24 56.16
 0.24 56.08
 0.24 55.68
 0.24 55.44
 0.16 55.2
 0.16 55.2
 0.16 54.88
 0.16 54.8
 0.16 54.64
 0.16 54.48
 0.16 54.16
 0.16 54.0
 0.16 53.92
 0.16 53.76
 0.16 53.76
 0.16 53.68
 0.16 53.52
 0.16 53.52
 0.16 53.36
 0.16 53.28
 0.16 53.28
 0.16 53.04
 0.16 52.96
 0.16 52.8
 0.16 52.64
 0.16 52.48
 0.16 52.48
 0.16 52.48
 0.16 52.32
 0.16 52.16
 0.08 51.92
 0.08 51.84
 0.08 51.84
 0.08 51.6
 0.08 51.52
 0.08 51.36
 0.08 51.36
 0.08 51.36
 0.08 51.28
 0.08 51.2
 0.08 50.96
 0.08 50.8
 0.08 50.64
 0.08 50.64
 0.08 50.56
 0.08 50.56
 0.08 50.56
 0.08 50.48
 0.08 50.48
 0.08 50.4
 0.08 50.4
 0.08 50.4
 0.08 50.32
 0.08 50.16
 0.08 50.08
 0.08 50.0
 0.08 49.92
 0.08 49.92
 0.08 49.92
 0.08 49.76
 0.08 49.6
 0.08 49.6
 0.08 49.44
 0.08 49.36
 0.08 49.28
 0.08 49.12
 0.08 48.96
 0.08 48.72
 0.08 48.48
 0.08 48.4
 0.08 48.24
 0.08 47.92
 0.08 47.84
 0.08 47.76
 0.08 47.68
 0.08 47.68
 0.08 47.52
 0.08 47.28
 0.08 47.12
 0.08 46.96
 0.08 46.8
 0.08 46.8
 0.08 46.64
 0.08 46.4
 0.08 46.0
 0.08 46.0
 0.0 45.6
 0.0 45.04
 0.0 44.56
 0.0 43.68
 0.0 42.08
 0.0 40.96
 0.0 1.28
