 100.0 100.0
 0.88 36.56
 0.8 35.04
 0.48 34.64
 0.4 34.4
 0.4 34.16
 0.4 34.16
 0.4 34.0
 0.4 33.92
 0.24 33.84
 0.24 33.84
 0.16 33.52
 0.16 33.44
 0.08 33.44
 0.08 33.28
 0.08 33.12
 0.08 32.88
 0.08 32.88
 0.08 32.88
 0.08 32.8
 0.08 32.72
 0.08 32.72
 0.08 32.64
 0.08 32.64
 0.08 32.64
 0.08 32.64
 0.08 32.56
 0.08 32.48
 0.08 32.48
 0.08 32.4
 0.08 32.4
 0.08 32.16
 0.08 32.0
 0.08 31.92
 0.08 31.84
 0.08 31.76
 0.08 31.68
 0.08 31.6
 0.08 31.36
 0.08 31.36
 0.08 31.36
 0.08 31.28
 0.08 30.96
 0.08 30.88
 0.08 30.8
 0.08 30.8
 0.08 30.8
 0.08 30.72
 0.08 30.72
 0.08 30.72
 0.08 30.72
 0.08 30.72
 0.08 30.32
 0.08 30.32
 0.08 30.24
 0.08 30.16
 0.08 30.08
 0.08 29.76
 0.08 29.76
 0.08 29.76
 0.08 29.76
 0.0 29.76
 0.0 29.6
 0.0 29.6
 0.0 29.6
 0.0 29.52
 0.0 29.52
 0.0 29.36
 0.0 29.36
 0.0 29.28
 0.0 29.2
 0.0 29.2
 0.0 29.2
 0.0 29.2
 0.0 29.2
 0.0 29.2
 0.0 29.2
 0.0 29.2
 0.0 29.2
 0.0 29.2
 0.0 29.12
 0.0 29.12
 0.0 29.12
 0.0 28.8
 0.0 28.72
 0.0 28.72
 0.0 28.72
 0.0 28.64
 0.0 28.64
 0.0 28.56
 0.0 28.4
 0.0 28.4
 0.0 28.4
 0.0 28.32
 0.0 28.24
 0.0 27.6
 0.0 27.28
 0.0 27.12
 0.0 26.32
 0.0 20.88
 0.0 1.76
